law_id,title,candidate_grade,pending_items,events_total,events_dv_html,events_dv_pdf,events_unlocated,events_dv_offline,pdf_pages_estimate,base_source,dv_identifier
-549676032,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
2135625007,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
2136890603,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
2137254795,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
2137254802,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
2137254803,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
2137254804,,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
administrativnoprotsesualen-kodeks,АДМИНИСТРАТИВНОПРОЦЕСУАЛЕН КОДЕКС,B-pending,events_pending;chain_scan;base_audit;freeze,29,7,0,22,0,0,dv_html,dv-1655
danachno-osiguritelen-protsesualen-kodeks,ДАНЪЧНО-ОСИГУРИТЕЛЕН ПРОЦЕСУАЛЕН КОДЕКС,B-pending,events_pending;chain_scan;base_audit;freeze,104,17,0,87,0,0,dv_html,dv-1225
etichen-kodeks-na-advokata,ЕТИЧЕН КОДЕКС НА АДВОКАТА,B-pending,events_pending;chain_scan;promulgation_unlocated;freeze,3,0,0,3,0,0,unlocated,
etichen-kodeks-na-obshtinskite-savetnitsi-vav-velikotarnovski-obshtinski-savet,ЕТИЧЕН КОДЕКС НА ОБЩИНСКИТЕ СЪВЕТНИЦИ ВЪВ ВЕЛИКОТЪРНОВСКИ ОБЩИНСКИ СЪВЕТ,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
etichen-kodeks-na-sadebnite-sluzhiteli,ЕТИЧЕН КОДЕКС НА СЪДЕБНИТЕ СЛУЖИТЕЛИ,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
etichen-kodeks-za-povedenie-na-darzhavnite-sluzhiteli-v-ministerstvoto-na-vatres,ЕТИЧЕН КОДЕКС ЗА ПОВЕДЕНИЕ НА ДЪРЖАВНИТЕ СЛУЖИТЕЛИ В МИНИСТЕРСТВОТО НА ВЪТРЕШНИТЕ РАБОТИ,B-pending,events_pending;chain_scan;promulgation_unlocated;freeze,4,0,0,4,0,0,unlocated,
grazhdanski-protsesualen-kodeks,ГРАЖДАНСКИ ПРОЦЕСУАЛЕН КОДЕКС,B-pending,events_pending;chain_scan;base_audit;freeze,57,19,0,38,0,0,dv_html,dv-3951
izboren-kodeks,ИЗБОРЕН КОДЕКС,B-pending,events_pending;chain_scan;base_audit;freeze,29,11,0,18,0,0,dv_html,dv-82965
kodeks-na-mezhdunarodnoto-chastno-pravo,КОДЕКС НА МЕЖДУНАРОДНОТО ЧАСТНО ПРАВО,B-pending,events_pending;chain_scan;base_audit;freeze,5,0,0,5,0,0,dv_html,dv-292
kodeks-na-targovskoto-koraboplavane-zagl-izm-dv-br-113-ot-2002-g,"КОДЕКС НА ТЪРГОВСКОТО КОРАБОПЛАВАНЕ (ЗАГЛ. ИЗМ. - ДВ, БР. 113 ОТ 2002 Г.)",C,events_pending;chain_scan;freeze,46,8,5,29,4,12,dv_offline,
kodeks-na-truda,КОДЕКС НА ТРУДА,C,events_pending;chain_scan;freeze,133,30,29,72,2,83,dv_offline,
kodeks-za-dobra-veterinarnomeditsinska-praktika-i-profesionalna-etika-na-veterin,КОДЕКС ЗА ДОБРА ВЕТЕРИНАРНОМЕДИЦИНСКА ПРАКТИКА И ПРОФЕСИОНАЛНА ЕТИКА НА ВЕТЕРИНАРНИЯ ЛЕКАР,B-pending,chain_scan;promulgation_unlocated;freeze,0,0,0,0,0,0,unlocated,
kodeks-za-etichno-povedenie-na-balgarskite-magistrati,КОДЕКС ЗА ЕТИЧНО ПОВЕДЕНИЕ НА БЪЛГАРСКИТЕ МАГИСТРАТИ,B-pending,chain_scan;promulgation_unknown;freeze,0,0,0,0,0,0,unlocated,
kodeks-za-povedenie-na-sluzhitelite-v-darzhavnata-administratsiya,КОДЕКС ЗА ПОВЕДЕНИЕ НА СЛУЖИТЕЛИТЕ В ДЪРЖАВНАТА АДМИНИСТРАЦИЯ,B-pending,chain_scan;base_audit;freeze,0,0,0,0,0,0,dv_html,dv-147322
kodeks-za-profesionalna-etika-na-lekarite-po-dentalna-meditsina-zagl-izm-dv-br-1,"КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА ЛЕКАРИТЕ ПО ДЕНТАЛНА МЕДИЦИНА (ЗАГЛ. ИЗМ. - ДВ, БР. 18 ОТ 2017 Г.)",B-pending,events_pending;chain_scan;promulgation_unlocated;freeze,1,0,0,1,0,0,unlocated,
kodeks-za-profesionalna-etika-na-lekarite-v-balgariya-zagl-izm-dv-br-85-ot-2013-,"КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА ЛЕКАРИТЕ В БЪЛГАРИЯ (ЗАГЛ. ИЗМ. - ДВ, БР. 85 ОТ 2013 Г.)",B-pending,events_pending;chain_scan;base_audit;freeze,1,0,0,1,0,2,dv_pdf,
kodeks-za-profesionalna-etika-na-lekarskite-asistenti,КОДЕКС ЗА ПРОФЕСИОНАЛНА ЕТИКА НА ЛЕКАРСКИТЕ АСИСТЕНТИ,B-pending,chain_scan;promulgation_unlocated;freeze,0,0,0,0,0,0,unlocated,
