pass,law_id,dv_year,dv_number,id_mat,section,title,title_kind,resolver_score,resolver_flags
title,izboren-kodeks,2026,71,245132,Народно събрание,Закон за изменение и допълнение на Изборния кодекс,amending,1.000,
title,naredba-105-ot-22-avgust-2006-g-za-usloviyata-i-reda-za-sazdavane-poddarzhane-do,2014,43,85018,Министерство на земеделието и храните,"Наредба за изменение на Наредба за изменение и допълнение на Наредба № 105 от 2006 г. за условията и реда за създаване, поддържане, достъп и ползване на интегрираната система за администриране и контрол",amending,1.000,
title,naredba-12-ot-5-may-2015-g-za-usloviyata-i-reda-za-priznavane-na-organizatsii-na,2026,81,245640,Министерство на земеделието и храните,"Наредба за изменение и допълнение на Наредба № 12 от 2015 г. за условията и реда за признаване на организации на производители на земеделски продукти, асоциации на организации на производители и междубраншови организации и на групи производители",amending,1.000,numbered_key_tie
title,naredba-21-ot-11-may-2007-g-za-pravilata-za-izgrazhdane-na-mobilni-dalekosaobsht,2026,38,242741,"Министерство на транспорта и съобщенията, Министерство на регионалното развитие и благоустройството",Наредба за отменяне на Наредба № 21 от 2007 г. за правилата за изграждане на мобилни далекосъобщителни мрежи и съоръжения,repeal,1.000,numbered_key_tie
title,naredba-21-ot-14-yuni-2010-g-za-usloviyata-i-reda-za-sertifitsirane-na-letatelna,2026,79,245428,Министерство на отбраната,Наредба за изменение и допълнение на Наредба № 21 от 2010 г. за условията и реда за сертифициране на летателната годност на военните въздухоплавателни средства,amending,1.000,numbered_key_tie
title,naredba-28-ot-1-yuli-2010-g-za-utvarzhdavane-na-meditsinski-standart-vatreshni-b,2010,94,40933,Министерство на здравеопазването,"Поправка на допусната техническа грешка в Наредбата за изменение и допълнение на Наредба № 28 от 2010 г. за утвърждаване на медицински стандарт „Вътрешни болести“ (ДВ, бр. 91 от 2010 г.)",corrigendum,1.000,
title,naredba-35-ot-30-noemvri-2012-g-za-pravilata-i-normite-za-proektirane-izgrazhdan,2026,38,242742,"Министерство на транспорта и съобщенията, Министерство на регионалното развитие и благоустройството","Наредба за отменяне на Наредба № 35 от 2012 г. за правилата и нормите за проектиране, изграждане и въвеждане в експлоатация на кабелни електронни съобщителни мрежи и прилежащата им инфраструктура",repeal,1.000,numbered_key_tie
title,naredba-49-ot-6-oktomvri-2025-g-za-usloviyata-i-reda-za-izdavane-na-litsenz-i-iz,2026,75,245336,Българска народна банка,"Наредба за изменение и допълнение на Наредба № 49 от 6 октомври 2025 г. за условията и реда за издаване на лиценз и изисквания към дейността на лицата, обслужващи кредити, и за предоставяне на информация от купувачите на кредити и кредитните институции",amending,1.000,
title,naredba-8-ot-26-fevruari-2008-g-za-funktsiite-i-organizatsiyata-na-deynostta-na-,2026,80,245551,Министерство на правосъдието,Наредба за изменение и допълнение на Наредба № 8 от 2008 г. за функциите и организацията на дейността на бюрата за съдимост,amending,1.000,numbered_key_tie
title,naredba-9-ot-10-dekemvri-2019-g-za-opredelyane-na-paketa-ot-zdravni-deynosti-gar,2025,21,233476,Министерство на здравеопазването,"Поправка в Наредбата за изменение и допълнение на Наредба № 9 от 2019 г. за определяне на пакета от здравни дейности, гарантиран от бюджета на Националната здравноосигурителна каса (ДВ, бр. 15 от 2025 г.)",corrigendum,1.000,numbered_key_tie
