year,number,date,id_obj,extraordinary,corpus_events_citing,toc_pages_est,corpus_material_pages_est,issue_pages_est
1989,1,1989-01-03,9060,false,0,1,0,48
1989,2,1989-01-06,9061,false,0,1,0,48
1989,3,1989-01-10,9062,false,0,1,0,48
1989,4,1989-01-13,9078,false,1,1,3,48
1989,5,1989-01-17,9079,false,0,1,0,48
1989,6,1989-01-20,9098,false,0,1,0,48
1989,7,1989-01-24,9118,false,0,1,0,48
1989,8,1989-01-27,9119,false,0,1,0,48
1989,9,1989-01-31,9120,false,0,1,0,48
1989,10,1989-02-03,9121,false,0,1,0,48
1989,11,1989-02-07,9122,false,0,1,0,48
1989,12,1989-02-10,9140,false,0,1,0,48
1989,13,1989-02-14,9141,false,1,1,4,48
1989,14,1989-02-17,9142,false,0,1,0,48
1989,15,1989-02-21,9198,false,0,1,0,48
1989,16,1989-02-24,9199,false,0,1,0,48
1989,17,1989-02-28,9200,false,0,1,0,48
1989,18,1989-03-07,9201,false,0,1,0,48
1989,19,1989-03-10,9218,false,0,1,0,48
1989,20,1989-03-14,9219,false,0,1,0,48
1989,21,1989-03-17,9220,false,0,1,0,48
1989,22,1989-03-21,9263,false,0,1,0,48
1989,23,1989-03-24,9264,false,0,1,0,48
1989,24,1989-03-28,9265,false,0,1,0,48
1989,25,1989-03-31,9266,false,0,1,0,48
1989,26,1989-04-04,9267,false,0,1,0,48
1989,27,1989-04-07,9268,false,0,1,0,48
1989,28,1989-04-11,9278,false,0,1,0,48
1989,29,1989-04-14,9279,false,0,1,0,48
1989,30,1989-04-18,9298,false,0,1,0,48
1989,31,1989-04-21,9299,false,0,1,0,48
1989,32,1989-04-25,9318,false,0,1,0,48
1989,33,1989-04-28,9338,false,0,1,0,48
1989,34,1989-05-05,9340,false,0,1,0,48
1989,35,1989-05-09,9341,false,0,1,0,48
1989,36,1989-05-12,9358,false,0,1,0,48
1989,37,1989-05-16,9398,false,3,1,10,48
1989,38,1989-05-19,9418,false,2,1,6,48
1989,39,1989-05-23,9419,false,0,1,0,48
1989,40,1989-05-26,9420,false,0,1,0,48
1989,41,1989-05-30,9421,false,0,1,0,48
1989,42,1989-06-02,9438,false,0,1,0,48
1989,43,1989-06-06,9439,false,0,1,0,48
1989,44,1989-06-09,9442,false,0,1,0,48
1989,45,1989-06-13,9458,false,2,1,6,48
1989,46,1989-06-16,9485,false,2,1,6,48
1989,47,1989-06-20,9498,false,0,1,0,48
1989,48,1989-06-23,9499,false,0,1,0,48
1989,49,1989-06-27,9500,false,0,1,0,48
1989,50,1989-06-30,9522,false,0,1,0,48
1989,51,1989-07-04,9523,false,0,1,0,48
1989,52,1989-07-07,9524,false,0,1,0,48
1989,53,1989-07-11,9538,false,0,1,0,48
1989,54,1989-07-14,9539,false,0,1,0,48
1989,55,1989-07-18,9558,false,0,1,0,48
1989,56,1989-07-21,9578,false,0,1,0,48
1989,57,1989-07-25,9598,false,0,1,0,48
1989,58,1989-07-28,9599,false,0,1,0,48
1989,59,1989-08-01,9618,false,0,1,0,48
1989,60,1989-08-04,9638,false,0,1,0,48
1989,61,1989-08-08,9639,false,0,1,0,48
1989,62,1989-08-11,9660,false,0,1,0,48
1989,63,1989-08-15,9678,false,0,1,0,48
1989,64,1989-08-18,9683,false,0,1,0,48
1989,65,1989-08-22,9684,false,0,1,0,48
1989,66,1989-08-25,9698,false,0,1,0,48
1989,67,1989-08-29,9699,false,0,1,0,48
1989,68,1989-09-01,9738,false,0,1,0,48
1989,69,1989-09-05,9778,false,0,1,0,48
1989,70,1989-09-08,9779,false,0,1,0,48
1989,71,1989-09-12,9803,false,0,1,0,48
1989,72,1989-09-15,9804,false,0,1,0,48
1989,73,1989-09-19,9818,false,0,1,0,48
1989,74,1989-09-22,9819,false,0,1,0,48
1989,75,1989-09-26,9820,false,0,1,0,48
1989,76,1989-09-29,9821,false,0,1,0,48
1989,77,1989-10-03,9822,false,0,1,0,48
